,accuracy,precision,recall,f1,mcc
BN,1.13018716770431,0.010748852118404,0.011301871677043,0.010880164994624,0.026520627563342
NB,0.643074512993206,0.008375359334564,0.006430745129932,0.006837465539797,0.019120551307609
kNN,0.770930294747525,0.007970375375147,0.007709302947475,0.008535637261078,0.021290523404646
K*,0.927213227819256,0.010570007200951,0.008498175892626,0.010124246656701,0.030904374238285
j48,1.20580064943118,0.01250989646472,0.012058006494312,0.012221329848209,0.03115072029623
RF,1.00122651260825,0.009980155896994,0.010012265126083,0.011144660588831,0.027071741115043
