,accuracy,precision,recall,f1,mcc
BN,1.09182338712027,0.010717382280457,0.010918233871203,0.010664419121187,0.026369770943009
NB,0.953480286762302,0.008144249357579,0.009534802867623,0.008860016344131,0.019152285968436
kNN,1.48764526952729,0.01462643542511,0.014876452695273,0.014330536544253,0.035019958291625
K*,0.809468622672377,0.005450703646412,0.008094686226724,0.007476284638896,0.01341202827252
j48,0.627496668749973,0.006368039684182,0.0062749666875,0.006271704798492,0.015923196589964
RF,0.707191901968543,0.006991562264312,0.007071919019685,0.008120291908956,0.019632396001142
